title,link,image,author,discount,publisher,pubdate,isbn,description
"인공지능 (수학적 이해에서 알고리즘까지, 개정판)",https://search.shopping.naver.com/book/catalog/53090593103,https://shopping-phinf.pstatic.net/main_5309059/53090593103.20250226071517.jpg,오상훈,26730,홍릉,20250311,9791156002635,
교실 밖 인공지능 수업 (우리의 상상을 미래의 현실로 만들어가는 인공지능의 세계를 탐험하다),https://search.shopping.naver.com/book/catalog/33700896625,https://shopping-phinf.pstatic.net/main_3370089/33700896625.20230425164154.jpg,김현정,12600,궁리,20220725,9788958207788,"다가올 새로운 미래를 준비하는 청소년들을 위해 
IT전문가가 현장에서 들려주는 생생한 인공지능 강의!

그동안 『코딩책과 함께 보는 코딩 개념 사전』 『코딩책과 함께 보는 소프트웨어 개념 사전』 『엔트리 블록코딩 100제』 등을 펴내며, IT 지식이 이제 우리에게 ‘교양’임을 이야기하고 풍성한 정보를 제공해온 IT 전문가 김현정 작가가 『청소년을 위한 교실 밖 인공지능 수업』을 새롭게 펴냈다. 
 
우리나라는 2020년부터 모든 국민이 인공지능 교육을 받을 수 있도록 체계를 마련하고 있다. 2022년까지 초·중등교육에 인공지능이 필수 교과과정으로 들어가게 되고, 초등학교 선생님이 되기 위해서는 교육대학에서 인공지능 과목을 필수로 이수해야 한다. 또한 군 장병과 공무원 임용자는 ‘인공지능 소양교육’을 필수로 받아야 하고, 일반 국민 대상으로는 온·오프라인 인공지능 평생교육 기회를 제공한다고 한다.  

최근 들어 이렇게 인공지능 교육을 더욱 강조하는 이유는 무엇일까? 그 이유는 인공지능 기술을 중심으로 모든 산업이 서서히 변화하고 있기 때문이다. 실제로 인간의 역할을 대체할 수 있는 기술들이 발전하면서 무서운 속도로 인공지능 산업이 성장하고 있고, 그동안 전문직의 영역이라고 생각했던 직업군을 대체할 수 있는 수준까지 이르고 있다. 앞으로는 인공지능을 활용해 업무를 수행할 시대가 곧 올 것이기 때문에 우리 모두가 인공지능을 이해하고 활용하는 방법을 배워야 하는 시대에 살고 있는 것이다.
이 책은 크게 2개 파트로 구성되어 인공지능 개념과 함께 인공지능이 우리 생활 곳곳에서 어떻게 활용되는지를 소개하고 있다. 

파트1에서는 인공지능의 정의, 최초의 인공지능 테스트를 소개하고, 인공지능 역사 속에서 인간과 인공지능이 대결을 했던 기록들을 들려준다. 60년 전부터 인공지능 연구는 시작되었지만, 높은 기대에 못 미치는 성과 때문에 활동이 뜸해지면서, 이 분야 연구가 추운 겨울을 맞이하게 된 과정도 설명한다. 또한 기계학습과 인공신경망, 머신러닝과 딥러닝 등 인공지능 분야에서 자주 접할 수 있는 개념을 함께 살펴본다. 

파트2에서는 인공지능 때문에 달라지는 번역 서비스의 모습들, 텍스트를 음성으로 바꿔주는 TTS 기술에 대한 소개, 어떤 대상을 인식하는 객체 인식, 글자 인식 등 다양한 영역에서 어떻게 인공지능 기술이 활용되고 있는지를 소개하고 있다. 또한 인공지능이 발전함에 따라 우리의 삶이 감시 및 통제되는 건 아닌지에 대한 비판과 함께, 인공지능의 윤리를 올바르게 정립해야 하는 시기가 왔음을 강조한다. 마지막으로 엔트리에서 제공하는 인공지능 블록의 활용 사례를 공유한다.  

미래학자들은 인공지능을 잘 활용하는 사람과 기업이 기회를 얻을 수 있다고 말하기도 한다. 우리가 인공지능과 어떻게 공존할지, 인공지능을 어떻게 활용해야 하는지를 적극적으로 고민해볼 시점이 된 것은 분명하다."
AI 리터러시 (인공지능 필수 지식부터 완벽 활용까지),https://search.shopping.naver.com/book/catalog/51605115647,https://shopping-phinf.pstatic.net/main_5160511/51605115647.20241129092308.jpg,김용성,22500,프리렉,20241202,9788965404026,"AI 시대에 필수로 알아야 할 인공지능의 원리와 개념부터
학생·직장인·공무원·교육자·연구자·자영업자, 누구에게나 당장 유용한 생성형 AI 서비스 59종까지!

아직 AI의 잠재력을 다 누리고 있지 못한 당신을 넥스트 레벨로 이끌, 단 한 권의 AI 교과서, 『AI 리터러시』

생성형 AI는 이미 우리 생활에 상당히 깊이 들어왔고, 우리는 인공지능 이전으로 돌아갈 수 없다. AI를 모른 채로는 살아갈 수 없는 세상이다. 그렇지만 파편화된 인공지능 정보나 개별 서비스/사이트/툴의 좁은 이야기에만 머물러서는, 인공지능과 우리 개개인, 더 나아가 사회를 제대로 논할 수 없게 될 것이다. 그리하여 여기 인공지능 시대에 꼭 필요한 상식이자 최고 역량이 될 'AI 종합력', AI 리터러시(Artificial Intelligence Literacy)를 소개한다. '생성형 AI 충격' 이후, 이제 인공지능의 바다에 무작정 뛰어들거나 극히 일부만 붙들고 안주하기보다, 체계적이고 종합적인 접근을 통해 유연하고도 단단한 인공지능 시대 '생활력'을 쌓아야 할 때다. 

『AI 리터러시』는 이 정도쯤은 알아야 할 수준으로 선별한 'AI와 데이터 지식'을 일러스트와 함께 친절하게 설명하며 출발한다. 인공지능의 탄생과 작동 원리부터 시작해 AI가 요즘과 근미래에 우리 사회에 끼칠 영향을 두루 조망하며 AI 시대에 대한 균형 잡힌 시각을 선보인다. 대화형 AI의 효율을 끌어올릴 질문법 '프롬프트 엔지니어링'은 물론이고, 챗GPT 외에도 수백 가지 중 엄선한 분야별 톱 서비스59종을 수록한 〈생성형 AI 서비스 가이드〉도 제공한다. 이 중 백미는 직업군별, 사례별로 정리한 누구에게나 유용한 'AI 활용 문제 해결법'이다. 각 서비스/툴의 첫 접속부터 실질적인 사용까지 세심히 안내한 가이드를 따르다 보면, 어느새 'AI를 보는 눈'이 트이고 다들 하는 AI가 아닌 나를 위한 '나 맞춤' AI 활용 방법의 감을 잡을 수 있을 것이다.

AI 전문가가 세심히 설계한 'AI 리터러시 아카이브'를 통해 인공지능과의 첫 인사부터 200% 이상의 완벽한 활용까지 달성하고, WITH AI의 승자로 우뚝 서길 바란다."
된다! 하루 만에 끝내는 챗GPT 활용법 (인공지능에게 일 시키고 시간 버는 법),https://search.shopping.naver.com/book/catalog/49362704627,https://shopping-phinf.pstatic.net/main_4936270/49362704627.20240725092057.jpg,프롬프트 크리에이터,15480,이지스퍼블리싱,20240729,9791163036234,"《된다! 하루 만에 끝내는 챗GPT 활용법》이 GPT-4o를 반영한 전면 개정 2판으로 돌아왔습니다!
초보자도 1시간이면 바로 사용 가능!
업무부터 자기 계발까지 챗GPT에게 일 시키고 시간 버는 법!

챗GPT 입문 분야 베스트셀러인 《된다! 하루 만에 끝내는 챗GPT 활용법》이 2024년 GPT-4o로 최신 업데이트된 내용을 반영하여 전면 개정 2판으로 돌아왔습니다. 이 책은 용어조차 생소할 초보자를 위해 인공지능에 대한 개념 설명과 챗GPT 가입 방법부터 시작합니다. 이어서 실무에 활용할 프롬프트 작성 예제와 저작권 이슈, 챗GPT가 먹통일 때 해결 방법 등 많은 분들이 챗GPT를 사용할 때 궁금해할 만한 내용을 Q & A 형식으로 꼼꼼하게 다룹니다.
챗GPT로 이미지를 만드는 방법은 물론 코파일럿 디자이너와 미드저니로 이미지를 생성하는 방법도 담았습니다. 또한 구글의 제미나이, 마이크로스프트의 코파일럿, 영상을 만들어 주는 AI인 소라(Sora) 소개도 빼놓지 않았습니다. 아울러 GPT로 챗봇 만드는 방법을 소개하고 프롬프트 엔지니어링 패턴 11가지를 정리해 두었으니 저자의 노하우와 질문하는 요령을 배워 차원이 다른 답변을 받아 보세요!
초보자에게는 챗GPT에 관한 이해를 높이는 입문서가 되고, 실무자에게는 챗GPT를 본격적으로 활용할 수 있는 계발서가 될 것이며, 성장을 꿈꾸는 모든 사람에게는 자신의 능력을 일깨워 주는 자기계발서가 될 것입니다. 인공지능 전문 유튜버 ‘프롬프트 크리에이터’에게 배우면 챗GPT를 하루 만에 익힐 수 있습니다! 이 책을 통해 GPT-4o 업데이트로 차원이 달라진 챗GPT를 만나 보세요!

ㆍ 이후 챗GPT의 최신 업데이트와 변화된 상황은 저자의 유튜브 채널에서 확인하세요!"
인공지능 시대의 컴퓨터 개론 (개정8판),https://search.shopping.naver.com/book/catalog/36567463621,https://shopping-phinf.pstatic.net/main_3656746/36567463621.20230103163154.jpg,김대수^김경동,25760,생능출판,20221227,9788970506173,"제1장에서는 디지털 혁명과 4차 산업혁명의 시대를 다루었다. 인공지능 기술, 디지털 혁명을 비롯한 컴퓨터와 관련된 전반적인 이슈들을 개괄적으로 다루고, 4차 산업혁명 시대의 분야 등을 간략하게 고찰하였다.
제2장에서는 컴퓨터의 발전과 기반 지식을 주제로 하여 컴퓨터의 등장, 컴퓨터의 세대별 분류, 컴퓨터의 분류, 수의 표현과 연산, 데이터의 표현, 논리 회로를 다루었다.
제3장에서는 컴퓨터 시스템의 구조를 살펴보았는데, 컴퓨터 시스템의 기본 구조, 중앙처리 장치, 명령어, 기억 장치, 속도와 성능 등을 다루었다.
제4장에서는 새로운 주제인 소프트웨어와 변화하는 사회를 고찰하였다. 소프트웨어의 정의, 중요성과 역할, 다양한 응용, 코딩과 코딩 교육 등을 다루었다.
제5장에서는 컴퓨터 운영의 지휘자인 운영체제를 다루었다. 운영체제의 개념, Windows, Unix, Linux, Mac OS, 임베디드와 모바일 OS에 관해 설명하였다.
제6장에서는 컴퓨터 통신과 인터넷에 관련된 주제들을 다루었다. 통신의 개요, 네트워크, 통신 방법, 인터넷, 인터넷의 활용, Web 3.0의 개념과 응용 등을 살펴보았다.
제7장에서는 최근의 컴퓨터 응용 기술을 다루었는데, 유비쿼터스 컴퓨팅, 스마트홈, 증강현실과 가상현실, 웨어러블 디바이스, 지능형 로봇, 메타버스의 세계 등을 설명하였다.
제8장에서는 인공지능에 대해 다루었다. 인공지능의 개요와 목표, 응용 분야, 딥러닝, 장단점 그리고 인공지능 윤리 등을 다루었다.
제9장에서는 멀티미디어와 전자상거래 관련 논제들을 다루었다. 멀티미디어 개요, 구성 요소와 특징, 멀티미디어 응용 기반과 활용, 전자상거래 등을 고찰하였다.
제10장에서는 떠오르는 4차 산업혁명 기술에 대해 살펴보았다. 4차 산업혁명 시대, 인공지능과 로보틱스, 사물인터넷, 빅데이터 등 핵심 기술들을 살펴보았다.
제11장에서는 IT 융합 기술 응용과 모바일 컴퓨팅을 다루었다. IT 융합 기술 응용과 모바일 컴퓨팅 기술, 최근의 모바일 정보통신 문화, 블록체인, 암호화폐, NFT 등을 설명하였다.
제12장에서는 프로그래밍 언어의 전반적인 사항들을 설명하였다. 주요 프로그래밍 언어들, 제4세대 언어, 객체지향 언어, 웹 기반 언어 등을 해설하였다.
제13장에서는 데이터베이스와 컴퓨터 보안 관련 주제들을 다루었다. 데이터베이스의 개념, 관계형 DB, 컴퓨터 보안, 보안 전략 등을 고찰하였다"
인공지능과 4차 산업혁명의 미래 (처음 만나는 디지털 인문학),https://search.shopping.naver.com/book/catalog/46359467619,https://shopping-phinf.pstatic.net/main_4635946/46359467619.20240314101805.jpg,전승민,14400,팜파스,20240330,9791170266372,"4차 산업혁명의 물결이 서서히 일어나던 2018년 출간되어 현재까지 과학 베스트셀러로 공고하게 자리한 《십 대가 알아야 할 인공지능과 4차 산업혁명의 미래》가 개정판을 출간했다. 4차 산업혁명 초입에 출간되었던 초판 시점과는 달라진 현재의 과학 기술 동향을 보완하고 그 사이, 생성형 AI의 출현과 같은 거대한 파도가 되어 우리 삶을 바꾸어 놓은 4차 산업혁명의 물결들을 살핀다. 상상 그 이상으로 변화무쌍한 미래에 십 대 청소년이 무엇을 준비해야 하며, 어떻게 자신의 재능을 발휘하며 살아가야 할지를 이야기한다. AI를 얼마나 이해하는지가 미래 인재가 되는 필수 요건인 지금, 가장 쉽고도 체계적으로 인공지능과 4차 산업혁명을 이해할 수 있는 디지털 인문서다.
《십 대가 알아야 할 인공지능과 4차 산업혁명의 미래(개정판)》는 4차 산업혁명의 시작과 변화, 완성까지를 아우르며, 미래의 주역 청소년들이 반드시 알아야만 하는 디지털 과학 지식과 그로 인한 삶의 변화를 이야기한다. 인공지능, 로봇, 빅데이터, 사물인터넷, 통신 같은 미래 세상의 핵심 기술은 알아보고, 지금 업계에서 떠오르는 미래 유망 직업들과 그 이유까지도 알려 준다. 기술과 미래 세상이 함께 만들어지는 과정과, 그 흐름을 보는 안목을 키워주고 있어, 청소년들이 맨 처음 만나는 디지털인문학 책이라고도 할 수 있다. 국내 최초 인간형 로봇 ‘휴보’를 10년간 취재하며, 4차 산업혁명의 기술 발전을 가장 가까이에서 지켜본 과학 기자인 저자가 뜬구름 잡는 식의 설명이 아닌 현재와 미래를 연결하는 기술의 가장 구체적이고 생생한 모습을 보여준다. 최초의 컴퓨터부터 ‘입는 컴퓨터’, ‘생성 AI’까지 기술의 발달과 세상의 발전 관계를 이해하기 쉽게 설명한다. 그 때문에 청소년들은 마치 ‘이야기책’을 읽는 기분도 책장을 넘기게 될 것이다. 십 대들은 4차 산업혁명 시대의 흐름과 현재의 연결성을 배우고, 꼭 필요한 소양과 지적능력을 얻게 된다. 미래의 자기 가치를 발견하기 위해 도전하는 청소년들을 위한 책이다."
인공지능법 2,https://search.shopping.naver.com/book/catalog/53013427996,https://shopping-phinf.pstatic.net/main_5301342/53013427996.20250215071910.jpg,인하대학교 법학연구소 AI·데이터법 센터,39600,세창출판사,20250215,9791166843976,"이번 책은 『인공지능법 총론』에서 논했던 인공지능과 관련된 법적 쟁점과 원리를 토대로 보다 세부적이고 구체적으로 인공지능에 대한 규범적 논의를 이어 나가도록 노력하였습니다. 아울러 AI가 관련 산업에 미치는 영향을 고려해 산업부문별(의료, 금융, 자동차, 국방산업 등) 접근도 시도하였습니다. 총론보다 연구 분야를 세분화하고 실용적인 측면을 강조하여 학문적 깊이를 도모하면서도 일상과도 밀접한 분야를 다루었습니다. 

『인공지능법 2』는 입문자부터 전문가까지 다양한 독자들이 쉽게 접근할 수 있도록 넓고 깊게 구성하였습니다. 가장 각광을 받고 있는 생성형 AI 관련 쟁점과 인공지능기반 서비스와 관련 산업에 대한 규율, 인공지능 권리침해 및 규제, 인공지능 확산에 따라 발생하는 문제 해결을 위한 규범 마련 등 넓은 주제를 다루고 있습니다. 이 책을 통해 독자분들이 인공지능 관련 기술적·제도적 이해를 높이고, 인공지능을 활용한 능력 향상 및 개인의 권리를 보호하고 사회적 이익 증진하기 위해 널리 활용하기를 바랍니다.

이번 『인공지능법 2』는 인공지능에 대한 다양한 법적, 사회적 문제들을 분석하여 이를 관통하는 공통분모를 찾아 그 체계를 잡았습니다. 이를 통해 ‘생성형 인공지능에 대한 규율’, ‘인공지능 기반 서비스와 관련 산업에 대한 규율’. ‘인공지능 권리침해 및 규제’, ‘인공지능 확산과 제도’ 등 인공지능 관련 문제를 총 네 편으로 정리하였습니다."
"인공지능이 다 해주는 브루 Vrew 영상 편집 (유튜브, 숏폼 영상부터 버튜버, 인공지능 목소리 더빙까지 생성형 AI로 영상 콘텐츠 제작하기)",https://search.shopping.naver.com/book/catalog/50462714624,https://shopping-phinf.pstatic.net/main_5046271/50462714624.20240925091028.jpg,지현이(디지털거북이),18000,시프트,20241010,9791198673015,"주제만 입력하면 대본 작성부터 영상 생성까지 한 방에 해결해 주는 브루 영상 편집!

ChatGPT로 많은 사용자에게 알려진 생성형 인공지능은 이제 어느 분야든 적용되지 않는 곳이 없을 정도로 대중화되었다. 영상 편집 분야도 예외는 아니다. 가장 많이 사용하는 영상 편집 도구인 프리미어 프로에도 인공지능 기능이 하나둘 추가되고 있다. 하지만 프리미어 프로의 부담스러운 가격 정책과 무거운 프로그램 구동 환경은 영상 편집 입문자에게 여전히 부담스러운 상황이다. 이 상황에서 혜성처럼 등장한 프로그램이 바로 브루다. 인공지능을 영상 편집에 도입한 선두 주자 브루에는 자동 자막 생성 기능을 시작으로 현재는 텍스트를 이용한 영상 편집부터 생성형 AI를 이용한 자동 영상 생성 기능까지 인공지능으로 할 수 있는 거의 모든 영상 편집 기능이 다 담겨 있다. 이제 영상 편집 어렵게 하지 말고, 인공지능으로 편하게 시작해 보자. 주제를 입력하면 탑재된 ChatGPT가 대본을 작성해 주고, 대본을 바탕으로 인공지능이 영상을 생성해 주는 브루만 있으면 충분하다."
인공지능만 믿고 공부는 안 해도 될까요? (인공지능),https://search.shopping.naver.com/book/catalog/45264920618,https://shopping-phinf.pstatic.net/main_4526492/45264920618.20240116081856.jpg,이여운,14220,글라이더,20240115,9791170411390,"“이미 찾아온 미래, 인공지능 시대, 우리는 어떻게 살아야 할 것인가?”

“인공지능이 우리 일상을 편하게 바꿀 거야!”
“인공지능이 알아서 다 해 주니까 공부는 안 해도 되겠지?”
우리는 좋든 싫든 인공지능이 과학의 최첨단을 달리며 일상생활에 빠르게 파고드는 시대를 살게 되었다. 지금의 청소년들이 앞으로 성인이 되고 이 사회의 주역이 될 10~20년 후만 해도 오늘날과는 또 다른 모습의 인공지능 시대가 펼쳐질 것이다. 이제 인공지능은 살아가는 데 필요한 지식이 아니라 살아가기 위한 필수 지식이 되었다.
데이터 사이언티스트로 일하는 저자는 다른 책에서는 보기 힘든 인공지능의 학습 방법과 작동 원리를 구체적이고 흥미로운 예시를 들어 이해하기 쉽게 소개하며, 인공지능과 관련된 윤리 문제와 환경 문제, 미래 사회와 장래 직업을 함께 상상해 보는 시간도 갖는다. 
또한 기존 청소년 도서에서 다루지 않은 ‘학습을 통해 인공지능이 똑똑해지는 원리’, ‘인공지능 모델을 평가하는 방법’, ‘주요 인공지능 모델의 구조’ 등을 소개한다. MBTI, 기말고사 성적표, 보드게임 할리갈리 등 청소년의 일상과 맞닿아 있는 다양한 예시를 통해 쉽게 설명했다. 청소년의 눈높이에 맞춘 책이라서, 인공지능에 관심 있지만 수식에 겁먹어 더 공부하지 못했던 어른들도 마음 편히 읽을 수 있다. 
역사상 가장 유명한 인공지능 모델인 ChatGPT를 청소년의 눈높이에 맞춰 설명하는데, 단순히 ‘다음 단어를 예측하는 모델’이라는 설명에서 한발 더 나아가, ChatGPT의 기반인 Transformer 모델에 대한 설명부터 시작하여, ChatGPT의 차별점인 강화학습을 이용한 미세조정까지 다룬다. ‘사전학습’, ‘미세조정’, ‘LLM’ 등 어렴풋이 들어본 용어의 의미도 선명하게 이해할 수 있게 된다. 
이 책은 청소년에게 인공지능이 무엇이고, 어떻게 학습하고, 어떻게 평가하는지부터 설명한다. 이에 대한 이해를 바탕으로 인공지능의 윤리적 문제와 미래를 함께 고민한다."
와그작 파포 2021 (인공지능+인터넷),https://search.shopping.naver.com/book/catalog/53143516577,https://shopping-phinf.pstatic.net/main_5314351/53143516577.20250222102235.jpg,놀이교육콘텐츠랩,12600,마린북스,20250228,9791192119380,"와우! 그대로만 따라하면 작품이 된다!
와그작 시리즈는 인공지능+인터넷+OA프로그램이 함께 접목되어있는 도서입니다.
디지털 융합을 기반으로 ‘AI’, ‘인터넷’, ‘OA 프로그램’을 점목하여, 내가 원하는 이미지를 검색해 작품에 활용하거나, 챗GPT에게 명령을 내려 필요한 내용을 만들어낼 수도 있습니다.
이를 통해 학생들이 최신 기술과 디지털 환경을 이해하고, 실생활에 적용할 수 있는 능력을 키울 수 있어요. 난이도가 높은편은 아니며, 까다로운 조건이 들어있지 않습니다. 내가 만들면 그대로 가장 멋진 작품이 되니까요!

[학습 기대 효과]

① 수행평가 등 실전에 활용할 수 있는 기능(인터넷, AI, 문서 작업)을 익힐 수 있어요.

② 프로그램의 다양한 기능을 사용하여 학습에 대한 흥미를 유지할 수 있어요. 

③ 원하는 이미지, 문구 등으로 나만의 개성있는 작품을 만들면서 수업 집중도가 올라가요."
