iter	Passed	Remaining
0	340	340141
1	499	249454
2	679	225887
3	842	209723
4	1018	202653
5	1180	195526
6	1369	194326
7	1540	191056
8	1715	188845
9	1880	186141
10	2065	185729
11	2237	184237
12	2417	183556
13	2583	181960
14	2772	182051
15	2948	181318
16	3135	181277
17	3308	180497
18	3485	179939
19	3651	178919
20	3881	180969
21	4127	183486
22	4363	185336
23	4619	187863
24	4880	190355
25	5101	191113
26	5290	190646
27	5439	188830
28	5565	186349
29	5681	183714
30	5840	182564
31	6029	182381
32	6226	182467
33	6452	183320
34	6632	182881
35	6805	182226
36	7010	182468
37	7218	182739
38	7403	182432
39	7666	183992
40	7919	185241
41	8111	185028
42	8313	185028
43	8489	184456
44	8671	184029
45	8835	183238
46	9014	182783
47	9182	182116
48	9382	182100
49	9547	181405
50	9717	180825
51	9881	180153
52	10075	180030
53	10301	180465
54	10499	180395
55	10717	180667
56	10938	180965
57	11158	181226
58	11368	181321
59	11545	180878
60	11711	180278
61	11870	179593
62	12056	179317
63	12274	179517
64	12503	179856
65	12701	179751
66	12872	179253
67	13035	178664
68	13188	177948
69	13423	178340
70	13627	178309
71	13805	177935
72	13980	177539
73	14143	176985
74	14323	176658
75	14498	176274
76	14679	175963
77	14839	175407
78	15001	174893
79	15156	174301
80	15329	173928
81	15472	173214
82	15633	172720
83	15793	172225
84	15962	171827
85	16113	171253
86	16294	170997
87	16485	170847
88	16719	171136
89	16938	171266
90	17152	171337
91	17383	171572
92	17626	171908
93	17856	172107
94	18042	171879
95	18203	171415
96	18318	170528
97	18427	169607
98	18566	168975
99	18732	168592
100	18885	168103
101	19053	167748
102	19259	167722
103	19485	167871
104	19714	168040
105	19928	168076
106	20131	168011
107	20339	167990
108	20504	167606
109	20693	167427
110	20849	166982
111	21021	166672
112	21223	166591
113	21412	166416
114	21609	166299
115	21786	166026
116	21981	165892
117	22145	165528
118	22348	165455
119	22564	165475
120	22778	165476
121	22967	165291
122	23137	164968
123	23289	164528
124	23472	164304
125	23701	164403
126	23907	164337
127	24146	164496
128	24377	164594
129	24614	164725
130	24875	165012
131	25137	165299
132	25388	165504
133	25647	165753
134	25904	165978
135	26121	165951
136	26399	166296
137	26665	166559
138	26960	167002
139	27212	167159
140	27461	167300
141	27789	167910
142	28042	168056
143	28288	168158
144	28529	168228
145	28729	168047
146	28970	168109
147	29185	168014
148	29396	167893
149	29581	167626
150	29764	167350
151	29953	167109
152	30125	166774
153	30303	166475
154	30460	166056
155	30629	165714
156	30783	165292
157	30941	164892
158	31107	164535
159	31241	164018
160	31352	163381
161	31460	162742
162	31610	162320
163	31782	162014
164	31933	161603
165	32079	161169
166	32242	160826
167	32403	160476
168	32565	160132
169	32733	159816
170	32875	159379
171	33025	158981
172	33170	158567
173	33320	158178
174	33464	157762
175	33603	157326
176	33739	156878
177	33887	156492
178	34026	156064
179	34190	155754
180	34334	155361
181	34484	154991
182	34639	154648
183	34797	154318
184	34943	153941
185	35093	153580
186	35273	153355
187	35446	153099
188	35656	153003
189	35865	152902
190	36045	152675
191	36257	152583
192	36409	152238
193	36584	151995
194	36731	151634
195	36902	151376
196	37069	151101
197	37246	150867
198	37414	150597
199	37579	150319
200	37726	149969
201	37887	149673
202	38043	149364
203	38216	149117
204	38391	148882
205	38571	148670
206	38725	148353
207	38882	148052
208	39021	147683
209	39174	147369
210	39311	146997
211	39465	146693
212	39613	146366
213	39767	146062
214	39913	145730
215	40051	145372
216	40203	145064
217	40350	144742
218	40497	144422
219	40641	144091
220	40788	143774
221	40928	143432
222	41067	143090
223	41216	142784
224	41354	142444
225	41497	142121
226	41637	141786
227	41768	141428
228	41881	141006
229	42021	140680
230	42178	140412
231	42330	140129
232	42475	139823
233	42618	139513
234	42762	139205
235	42908	138908
236	43048	138591
237	43197	138305
238	43342	138006
239	43486	137707
240	43633	137418
241	43793	137170
242	43948	136910
243	44102	136646
244	44242	136338
245	44393	136066
246	44539	135783
247	44685	135498
248	44828	135206
249	44981	134944
250	45117	134633
251	45254	134327
252	45395	134032
253	45546	133769
254	45683	133466
255	45839	133221
256	45981	132934
257	46137	132690
258	46279	132405
259	46425	132133
260	46574	131871
261	46724	131612
262	46870	131344
263	47027	131107
264	47178	130853
265	47337	130623
266	47485	130362
267	47637	130114
268	47778	129835
269	47916	129551
270	48069	129307
271	48246	129130
272	48397	128882
273	48540	128613
274	48684	128350
275	48832	128097
276	48979	127842
277	49128	127593
278	49272	127331
279	49425	127095
280	49574	126848
281	49718	126588
282	49865	126337
283	50007	126074
284	50159	125839
285	50307	125593
286	50454	125344
287	50608	125116
288	50755	124870
289	50907	124635
290	51055	124391
291	51196	124133
292	51349	123904
293	51488	123641
294	51605	123329
295	51724	123020
296	51860	122753
297	51997	122489
298	52141	122243
299	52284	121997
300	52428	121753
301	52567	121496
302	52704	121237
303	52847	120992
304	52985	120737
305	53137	120513
306	53279	120268
307	53420	120021
308	53562	119779
309	53711	119550
310	53848	119298
311	53990	119055
312	54131	118812
313	54273	118572
314	54413	118327
315	54553	118083
316	54711	117879
317	54851	117636
318	54993	117400
319	55131	117154
320	55276	116924
321	55418	116688
322	55559	116451
323	55697	116209
324	55848	115992
325	55986	115750
326	56120	115501
327	56258	115260
328	56395	115018
329	56537	114787
330	56685	114569
331	56823	114330
332	56969	114109
333	57106	113871
334	57244	113634
335	57391	113415
336	57544	113210
337	57704	113018
338	57849	112797
339	57996	112582
